,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
525,LUAD,6,None,edgerqlf,0.01,1,42.0,42.0,0.21390693317504433,0.1322263911260629,0.1322263911260629,0.21390693317504433,0.9844293272864701,0.9748549323017408,0.9748549323017408,0.9844293272864701,0.020226936359151456,0.020226936359151456,0.0,0.0,43
526,LUAD,6,None,edgerqlf,0.05,1,445.0,445.0,0.4124996050645597,0.4040651361234024,0.4040651361234024,0.4124996050645597,0.9631675874769797,0.9604463285874261,0.9604463285874261,0.9631675874769797,0.19065217391304345,0.19065217391304345,0.17330147972989446,0.17330147972989446,43
527,LUAD,6,None,edgerqlf,0.1,1,826.5,826.5,0.5156576088838467,0.5156576088838467,0.5156576088838467,0.5156576088838467,0.9340208762128785,0.9340208762128785,0.9340208762128785,0.9340208762128785,0.3183865683865684,0.3183865683865684,0.2765150001221237,0.2765150001221237,43
528,LUAD,7,None,DESeq2,0.001,1,438.0,438.0,0.47539962064448504,0.47539962064448504,0.47539962064448504,0.47539962064448504,0.9608589916650596,0.9608589916650596,0.9608589916650596,0.9608589916650596,0.24955856386109476,0.24955856386109476,0.32930674993838926,0.32930674993838926,44
529,LUAD,7,None,DESeq2,0.01,1,661.0,661.0,0.5221581111100795,0.5221581111100795,0.5221581111100795,0.5221581111100795,0.9599343185550082,0.9599343185550082,0.9599343185550082,0.9599343185550082,0.31105081401085344,0.31105081401085344,0.385568172572903,0.385568172572903,44
530,LUAD,7,None,DESeq2,0.05,1,882.0,882.0,0.5675600343012464,0.5675600343012464,0.5675600343012464,0.5675600343012464,0.9513160816921178,0.9513160816921178,0.9513160816921178,0.9513160816921178,0.36586956521739133,0.36586956521739133,0.41947644710813625,0.41947644710813625,44
531,LUAD,7,None,DESeq2,0.1,1,1039.5,1039.5,0.5926231304547762,0.5926231304547762,0.5926231304547762,0.5926231304547762,0.9477631007853511,0.9477631007853511,0.9477631007853511,0.9477631007853511,0.4013104013104013,0.4013104013104013,0.4352250847798298,0.4352250847798298,44
532,LUAD,7,None,edgeR LRT,0.001,1,446.5,446.5,0.47254874944961556,0.47254874944961556,0.47254874944961556,0.47254874944961556,0.9568496020108923,0.9568496020108923,0.9568496020108923,0.9568496020108923,0.24602707474985286,0.24602707474985286,0.3111111111111111,0.3111111111111111,44
533,LUAD,7,None,edgeR LRT,0.01,1,770.0,770.0,0.56036304482788,0.56036304482788,0.56036304482788,0.56036304482788,0.945117559265088,0.945117559265088,0.945117559265088,0.945117559265088,0.3643315244203256,0.3643315244203256,0.3883752088791258,0.3883752088791258,44
534,LUAD,7,None,edgeR LRT,0.05,1,1178.5,1178.5,0.6365295148912837,0.6365295148912837,0.6365295148912837,0.6365295148912837,0.9155788738383042,0.9155788738383042,0.9155788738383042,0.9155788738383042,0.47347826086956524,0.47347826086956524,0.43564878017504927,0.43564878017504927,44
535,LUAD,7,None,edgeR LRT,0.1,1,1470.5,1470.5,0.6682370655046296,0.6682370655046296,0.6682370655046296,0.6682370655046296,0.8907423384480689,0.8907423384480689,0.8907423384480689,0.8907423384480689,0.5417690417690417,0.5417690417690417,0.45445932982172943,0.45445932982172943,44
536,LUAD,7,None,edgerqlf,0.001,1,0.0,0.0,0.05262581708238341,0.0,0.0,0.05262581708238341,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44
537,LUAD,7,None,edgerqlf,0.01,1,137.0,137.0,0.2773717528387988,0.2373176201037676,0.2373176201037676,0.2773717528387988,0.9860788863109049,0.9852578962619531,0.9852578962619531,0.9860788863109049,0.06610754810064134,0.06610754810064134,0.0636042402826855,0.0636042402826855,44
538,LUAD,7,None,edgerqlf,0.05,1,622.5,622.5,0.4791911468795439,0.4791911468795439,0.4791911468795439,0.4791911468795439,0.9618637220576354,0.9618637220576354,0.9618637220576354,0.9618637220576354,0.26217391304347826,0.26217391304347826,0.2815262288848492,0.2815262288848492,44
539,LUAD,7,None,edgerqlf,0.1,1,1022.5,1022.5,0.5710718499168095,0.5710718499168095,0.5710718499168095,0.5710718499168095,0.9341324947144632,0.9341324947144632,0.9341324947144632,0.9341324947144632,0.3923013923013923,0.3923013923013923,0.36761789322239247,0.36761789322239247,44
540,LUAD,8,None,DESeq2,0.001,1,519.0,519.0,0.5185772062895956,0.5185772062895956,0.5185772062895956,0.5185772062895956,0.9670776317572145,0.9670776317572145,0.9670776317572145,0.9670776317572145,0.2945850500294291,0.2945850500294291,0.38511971531350325,0.38511971531350325,45
541,LUAD,8,None,DESeq2,0.01,1,754.0,754.0,0.5635764077366997,0.5635764077366997,0.5635764077366997,0.5635764077366997,0.9653556755758668,0.9653556755758668,0.9653556755758668,0.9653556755758668,0.35841144548593984,0.35841144548593984,0.43369054715287925,0.43369054715287925,45
542,LUAD,8,None,DESeq2,0.05,1,1014.5,1014.5,0.6091023377843143,0.6091023377843143,0.6091023377843143,0.6091023377843143,0.9582651128016999,0.9582651128016999,0.9582651128016999,0.9582651128016999,0.4197826086956522,0.4197826086956522,0.46470149029166385,0.46470149029166385,45
543,LUAD,8,None,DESeq2,0.1,1,1167.0,1167.0,0.631155993564739,0.631155993564739,0.631155993564739,0.631155993564739,0.9509073629442496,0.9509073629442496,0.9509073629442496,0.9509073629442496,0.45413595413595415,0.45413595413595415,0.4782310020022053,0.4782310020022053,45
544,LUAD,8,None,edgeR LRT,0.001,1,530.5,530.5,0.5238785966430253,0.5238785966430253,0.5238785966430253,0.5238785966430253,0.9648409641991157,0.9648409641991157,0.9648409641991157,0.9648409641991157,0.3022366097704532,0.3022366097704532,0.36873654317985105,0.36873654317985105,45
545,LUAD,8,None,edgeR LRT,0.01,1,893.0,893.0,0.6131438175776183,0.6131438175776183,0.6131438175776183,0.6131438175776183,0.9467477079377881,0.9467477079377881,0.9467477079377881,0.9467477079377881,0.4225456339417859,0.4225456339417859,0.4384439961406894,0.4384439961406894,45
